0	16168.97	15954.91	15943.31
100	14403.65	15714.79	16148.74
200	12885.37	15864.16	16115.30
300	11670.39	15749.86	16149.23
400	10928.40	15571.34	16271.87
500	10310.75	15813.45	16047.28
600	 9239.15	15855.97	16224.64
700	 8711.48	15929.24	16072.67
800	 8496.40	15938.92	15953.20
900	 7973.61	15758.02	16178.18

